# THALASSA - STATISTICS                                                                                                                                                                                                             
#===================================================================================================================================================================================================================================
#    CALLS      STEPS                    TOL               CPUT [s]                    MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]
    125033      60583  1.000000000000000E-13  5.260000000000000E-01  5.906900072443383E+04  6.508122672851790E+03  1.572723051526790E-03  1.647888639133845E-03  3.514148614833583E+02  1.101999674489598E+02  3.473491784604056E+02
    125033      60583  1.000000000000000E-13  5.160000000000000E-01  5.906900072443383E+04  6.508122672851790E+03  1.572723051526790E-03  1.647888639133845E-03  3.514148614833583E+02  1.101999674489598E+02  3.473491784604056E+02
