# THALASSA - ORBITAL ELEMENTS                                                                                                                                                                           
#================================================================================================================================================================                                       
#                  MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]                                        
 5.904300000000000E+04, 6.628000000000000E+03, 1.181503270665801E-16, 0.000000000000000E+00, 0.000000000000000E+00, 0.000000000000000E+00, 0.000000000000000E+00
 5.904400000000000E+04, 6.626778716633815E+03, 1.049284898726609E-03, 9.859145028610414E-05, 7.811379950172889E+01, 3.956630132629699E+01, 2.925833391730233E+02
 5.904500000000000E+04, 6.625534331857885E+03, 1.994559224433826E-03, 2.319893257722255E-04, 7.012342837247330E+01, 7.823108398192990E+01, 3.139141541657826E+02
 5.904600000000000E+04, 6.624064343590898E+03, 2.649660715592850E-03, 3.996919235087954E-04, 6.562014392672971E+01, 1.148334356764043E+02, 3.356249379445042E+02
 5.904700000000000E+04, 6.622603451954102E+03, 2.895963649552846E-03, 5.980877874352178E-04, 6.318707158251047E+01, 1.502148158515138E+02, 3.583589409957903E+02
 5.904800000000000E+04, 6.621209655559034E+03, 2.660021822046913E-03, 8.172906261254944E-04, 6.259478265060296E+01, 1.854786577453261E+02, 2.131802004992362E+01
 5.904900000000000E+04, 6.619551705382936E+03, 1.896867766362032E-03, 1.035692185365723E-03, 6.314167609001565E+01, 2.219263828577289E+02, 4.398212929254900E+01
 5.905000000000000E+04, 6.617848204815019E+03, 7.662876562985005E-04, 1.237057028107536E-03, 6.407780663570290E+01, 2.665777137073766E+02, 6.016686089293973E+01
 5.905100000000000E+04, 6.616272562893993E+03, 6.385238425594471E-04, 1.406958872056718E-03, 6.518904423116720E+01, 8.540356671076172E+01, 3.042126720451883E+02
 5.905200000000000E+04, 6.614414768651590E+03, 1.819823632874457E-03, 1.527663271384589E-03, 6.595505734594850E+01, 1.378941603505845E+02, 3.172536424924948E+02
 5.905300000000000E+04, 6.612557369300775E+03, 2.578944285410838E-03, 1.597945209060411E-03, 6.569706622517532E+01, 1.809927311571391E+02, 3.431381507445894E+02
 5.905400000000000E+04, 6.610674022877274E+03, 2.647596643955676E-03, 1.624866061449851E-03, 6.396353951689579E+01, 2.266990863599219E+02, 1.044679722261541E+01
 5.905500000000000E+04, 6.608431493332687E+03, 1.901241426602205E-03, 1.629734027076528E-03, 6.018014280644510E+01, 2.779683394284428E+02, 3.693626983788698E+01
 5.905600000000000E+04, 6.606336442177553E+03, 6.523345250756480E-04, 1.643922920839339E-03, 5.449996225826999E+01, 3.566414673144506E+02, 4.076918273061929E+01
 5.905700000000000E+04, 6.603906258756187E+03, 1.137079937743503E-03, 1.694375482866318E-03, 4.744716965699284E+01, 1.698859555829938E+02, 3.144306151532355E+02
 5.905800000000000E+04, 6.601492052911571E+03, 2.264341337960676E-03, 1.797653003771425E-03, 4.051523316739094E+01, 2.371395161985312E+02, 3.371861039574615E+02
 5.905900000000000E+04, 6.598781701282232E+03, 2.489978267400655E-03, 1.933687427134704E-03, 3.458068877005717E+01, 2.989388608070627E+02, 7.851940000402742E+00
 5.906000000000000E+04, 6.595889226478170E+03, 1.630515153969889E-03, 2.080340858884083E-03, 3.016779968378226E+01, 6.036481447417724E+00, 3.540787035998007E+01
 5.906100000000000E+04, 6.592724351102876E+03, 6.114414106227214E-04, 2.198920172821985E-03, 2.691805904208588E+01, 1.502573619968410E+02, 3.486934564989066E+02
 5.906200000000000E+04, 6.589368488376635E+03, 1.854536114038277E-03, 2.270083301583300E-03, 2.448069063159718E+01, 2.682697571375011E+02, 3.317556163989327E+02
 5.906300000000000E+04, 6.585455127452766E+03, 2.343209547191344E-03, 2.279610329925145E-03, 2.223052958884237E+01, 3.420111626479140E+02, 3.755440516292576E+00
 5.906400000000000E+04, 6.581207143114831E+03, 1.445991324089999E-03, 2.226969667336350E-03, 1.971648496964470E+01, 6.772029622269403E+01, 2.951766027685498E+01
 5.906500000000000E+04, 6.576004308954289E+03, 1.056513502044418E-03, 2.125865176890025E-03, 1.651669718230761E+01, 2.401327572172066E+02, 3.355769782570107E+02
 5.906600000000000E+04, 6.569907645821186E+03, 2.117948174097058E-03, 1.996104708909353E-03, 1.215577965221912E+01, 3.515299616248309E+02, 3.513267486884918E+02
 5.906700000000000E+04, 6.561952565487461E+03, 1.592893607498022E-03, 1.858136103207308E-03, 6.418149705204305E+00, 1.016766232160377E+02, 1.910847931284826E+01
 5.906800000000000E+04, 6.549524220420481E+03, 1.335903635127426E-03, 1.736710121544880E-03, 3.594031883395605E+02, 2.880445160862568E+02, 3.453215752859275E+02
 5.906900000000000E+04, 6.508342249321785E+03, 1.579797116729909E-03, 1.647858780815914E-03, 3.514259076915192E+02, 1.057177669760126E+02, 3.474944651532412E+02
 5.906900072443383E+04, 6.508122672851790E+03, 1.572723051526790E-03, 1.647888639133845E-03, 3.514148614833583E+02, 1.101999674489598E+02, 3.473491784604056E+02
